store,category,brand,model_name,variant,ram,storage,price,price_text,currency,product_url,source_url,in_stock,scraped_at
GadgetByte Nepal,Mobiles,Xiaomi,Xiaomi 15 Ultra,16GB/512GB,16GB,512GB,149999,"NPR 149,999 (16+512GB)",NPR,https://www.gadgetbytenepal.com/xiaomi-15-ultra-price-in-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.251317+00:00
GadgetByte Nepal,Mobiles,Xiaomi,Xiaomi 17 Ultra,16GB/512GB,16GB,512GB,199999,"NPR 199,999 (16+512GB)",NPR,https://www.gadgetbytenepal.com/xiaomi-17-ultra-price-nepal/,https://www.gadgetbytenepal.com/xiaomi-mobiles-price-in-nepal/,,2026-07-03T02:26:29.251546+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y05,4GB/64GB,4GB,64GB,21999,"Rs. 21,999",NPR,https://www.gadgetbytenepal.com/vivo-y05-price-in-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911034+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y05,4GB/128GB,4GB,128GB,24999,"Rs. 24,999",NPR,https://www.gadgetbytenepal.com/vivo-y05-price-in-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911196+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y11d,4GB/128GB,4GB,128GB,27999,"Rs. 27,999",NPR,https://www.gadgetbytenepal.com/vivo-y11d-price-in-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911326+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y11d,6GB/128GB,6GB,128GB,33999,"Rs. 33,999",NPR,https://www.gadgetbytenepal.com/vivo-y11d-price-in-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911441+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y21 5G,6GB/128GB,6GB,128GB,40999,"Rs. 40,999",NPR,https://www.gadgetbytenepal.com/vivo-y21-5g-price-in-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911563+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y31d,6GB/128GB,6GB,128GB,37999,"Rs. 37,999",NPR,https://www.gadgetbytenepal.com/vivo-y31d-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911709+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y31d,8GB/128GB,8GB,128GB,43999,"Rs. 43,999",NPR,https://www.gadgetbytenepal.com/vivo-y31d-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911829+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo Y31d,8GB/256GB,8GB,256GB,51999,"Rs. 51,999",NPR,https://www.gadgetbytenepal.com/vivo-y31d-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.911946+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V60 Lite 4G,8GB/256GB,8GB,256GB,43499,"Rs. 43,499",NPR,https://www.gadgetbytenepal.com/vivo-v60-lite-5g-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912061+00:00
GadgetByte Nepal,Mobiles,Vivo,Vivo V60 Lite 5G,12GB/256GB,12GB,256GB,51999,"Rs. 51,999",NPR,https://www.gadgetbytenepal.com/vivo-v60-lite-5g-price-nepal/,https://www.gadgetbytenepal.com/vivo-mobiles-price-nepal/,,2026-07-03T02:26:29.912173+00:00
