store,category,brand,model_name,variant,ram,storage,price,price_text,price_type,currency,product_url,source_url,in_stock,scraped_at
Hukut,Mobiles,Honor,Honor X8d,,,,39999,"Rs. 39,999",starting,NPR,https://hukut.com/honor-x8d,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261608+00:00
Hukut,Mobiles,Honor,Honor X9d,,,,54999,"Rs. 54,999",starting,NPR,https://hukut.com/honor-x9d,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261745+00:00
Hukut,Mobiles,Honor,Honor 400 Lite,,,,39999,"Rs. 39,999",starting,NPR,https://hukut.com/honor-400-lite,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261872+00:00
Hukut,Mobiles,Honor,Honor 400,,,,67999,"Rs. 67,999",starting,NPR,https://hukut.com/honor-400,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.261982+00:00
Hukut,Mobiles,Honor,Honor 400 Pro,,,,88480,"Rs. 88,480",starting,NPR,https://hukut.com/honor-400-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.262084+00:00
Hukut,Mobiles,Honor,Honor Magic 8 Pro,,,,199999,"Rs. 199,999",starting,NPR,https://hukut.com/honor-magic-8-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.262192+00:00
Hukut,Mobiles,Honor,Honor Magic V5,,,,266999,"Rs. 266,999",starting,NPR,https://hukut.com/honor-magic-v5,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.262298+00:00
Hukut,Mobiles,Vivo,Vivo Y04,,,,13999,"Rs. 13,999",starting,NPR,https://hukut.com/vivo-y04,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.263520+00:00
Hukut,Mobiles,Vivo,Vivo Y05,,,,16999,"Rs. 16,999",starting,NPR,https://hukut.com/vivo-y05,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.263790+00:00
Hukut,Mobiles,Vivo,Vivo Y19s,,,,16499,"Rs. 16,499",starting,NPR,https://hukut.com/vivo-y19s,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.263950+00:00
Hukut,Mobiles,Vivo,Vivo Y19s Pro,,,,20999,"Rs. 20,999",starting,NPR,https://hukut.com/vivo-y19s-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.264094+00:00
Hukut,Mobiles,Vivo,Vivo Y21d,,,,21499,"Rs. 21,499",starting,NPR,https://hukut.com/vivo-y21d,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.264232+00:00
Hukut,Mobiles,Vivo,Vivo Y29,,,,24999,"Rs. 24,999",starting,NPR,https://hukut.com/vivo-y29,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.264607+00:00
Hukut,Mobiles,Vivo,Vivo Y31d,,,,29499,"Rs. 29,499",starting,NPR,https://hukut.com/vivo-y31d,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.264863+00:00
Hukut,Mobiles,Vivo,Vivo Y400,,,,39999,"Rs. 39,999",starting,NPR,https://hukut.com/vivo-y400,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.264999+00:00
Hukut,Mobiles,Vivo,Vivo V50 Lite 4G,,,,37999,"Rs. 37,999",starting,NPR,https://hukut.com/vivo-v50-lite-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.265257+00:00
Hukut,Mobiles,Vivo,Vivo V60 Lite 4G,,,,43499,"Rs. 43,499",starting,NPR,https://hukut.com/vivo-v60-lite-4g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.265439+00:00
Hukut,Mobiles,Vivo,Vivo V50 5G,,,,67999,"Rs. 67,999",starting,NPR,https://hukut.com/vivo-v50,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.265841+00:00
Hukut,Mobiles,Vivo,Vivo V60 5G,,,,70999,"Rs. 70,999",starting,NPR,https://hukut.com/vivo-v60-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.266040+00:00
Hukut,Mobiles,Vivo,Vivo V70 5G,,,,83999,"Rs. 83,999",starting,NPR,https://hukut.com/vivo-v70,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.266172+00:00
Hukut,Mobiles,Vivo,Vivo X200 Pro,,,,184999,"Rs. 184,999",starting,NPR,https://hukut.com/vivo-x200-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.266304+00:00
Hukut,Mobiles,Vivo,Vivo X300 Pro,,,,179999,"Rs. 179,999",starting,NPR,https://hukut.com/vivo-x300-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.266439+00:00
Hukut,Mobiles,Nothing,Nothing CMF Phone 1,,,,31699,"Rs. 31,699",starting,NPR,https://hukut.com/nothing-cmf-phone-1-price-in-nepal,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.267228+00:00
Hukut,Mobiles,Nothing,Nothing CMF Phone 2 Pro,,,,38999,"Rs. 38,999",starting,NPR,https://hukut.com/nothing-cmf-phone-2-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.267369+00:00
Hukut,Mobiles,Nothing,Nothing Phone (3a) Lite,,,,38999,"Rs. 38,999",starting,NPR,https://hukut.com/nothing-phone-(3a)-lite,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.267480+00:00
Hukut,Mobiles,Nothing,Nothing Phone (2a),,,,46999,"Rs. 46,999",starting,NPR,https://hukut.com/nothing-phone-2a-price-in-nepal,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.267608+00:00
Hukut,Mobiles,Nothing,Nothing Phone (2a) Plus,,,,49999,"Rs. 49,999",starting,NPR,https://hukut.com/nothing-phone-(2a)-plus,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.267717+00:00
Hukut,Mobiles,Nothing,Nothing Phone (3a),,,,53999,"Rs. 53,999",starting,NPR,https://hukut.com/nothing-phone-(3a),https://hukut.com/mobile-phones,,2026-07-03T03:39:54.267890+00:00
Hukut,Mobiles,Nothing,Nothing Phone (4a),,,,58499,"Rs. 58,499",starting,NPR,https://hukut.com/nothing-phone-(4a),https://hukut.com/mobile-phones,,2026-07-03T03:39:54.268004+00:00
Hukut,Mobiles,Nothing,Nothing Phone (3a) Pro,,,,61999,"Rs. 61,999",starting,NPR,https://hukut.com/nothing-phone-(3a)-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.268105+00:00
Hukut,Mobiles,Nothing,Nothing Phone (3),,,,99999,"Rs. 99,999",starting,NPR,https://hukut.com/nothing-phone-(3),https://hukut.com/mobile-phones,,2026-07-03T03:39:54.268207+00:00
Hukut,Mobiles,OnePlus,OnePlus Nord CE 5,,,,53999,"Rs. 53,999",starting,NPR,https://hukut.com/oneplus-nord-ce-5,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.268873+00:00
Hukut,Mobiles,OnePlus,OnePlus Nord 5,,,,73999,"Rs. 73,999",starting,NPR,https://hukut.com/oneplus-nord-5,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.268992+00:00
Hukut,Mobiles,OnePlus,OnePlus 13R,,,,83999,"Rs. 83,999",starting,NPR,https://hukut.com/oneplus-13r,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.269096+00:00
Hukut,Mobiles,OnePlus,OnePlus 15R,,,,98499,"Rs. 98,499",starting,NPR,https://hukut.com/oneplus-15r,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.269199+00:00
Hukut,Mobiles,OnePlus,OnePlus 12,,,,139999,"Rs. 139,999",starting,NPR,https://hukut.com/oneplus-12-price-in-nepal,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.269304+00:00
Hukut,Mobiles,OnePlus,OnePlus 13,,,,141999,"Rs. 141,999",starting,NPR,https://hukut.com/oneplus-13,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.269403+00:00
Hukut,Mobiles,OnePlus,OnePlus 15,,,,169999,"Rs. 169,999",starting,NPR,https://hukut.com/oneplus-15,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.269502+00:00
Hukut,Mobiles,Realme,Realme Note 60x,,,,13999,"Rs. 13,999",starting,NPR,https://hukut.com/realme-note-60x,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.270281+00:00
Hukut,Mobiles,Realme,Realme Note 60,,,,16499,"Rs. 16,499",starting,NPR,https://hukut.com/realme-note-60,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.270419+00:00
Hukut,Mobiles,Realme,Realme C75,,,,24999,"Rs. 24,999",starting,NPR,https://hukut.com/realme-c75,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.270719+00:00
Hukut,Mobiles,Realme,Realme 14T,,,,36999,"Rs. 36,999",starting,NPR,https://hukut.com/realme-14t-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.270839+00:00
Hukut,Mobiles,Realme,Realme 15T,,,,39999,"Rs. 39,999",starting,NPR,https://hukut.com/realme-15t,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.270951+00:00
Hukut,Mobiles,Realme,Realme 14,,,,49999,"Rs. 49,999",starting,NPR,https://hukut.com/realme-14-5g,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.271064+00:00
Hukut,Mobiles,Realme,Realme 15 Pro,,,,66999,"Rs. 66,999",starting,NPR,https://hukut.com/realme-15-pro,https://hukut.com/mobile-phones,,2026-07-03T03:39:54.271171+00:00
